Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_369.jpg;0;0;0;2.298079;104.3814;90.66187;359.3438;41.35104;0.02850617
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_436.jpg;0;0;0;2.289544;104.5194;90.78284;359.3709;41.34219;0.03112715
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_502.jpg;0;0;0;2.281653;104.6224;90.87337;359.3907;41.34153;0.03805905
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_567.jpg;-3.01404;0;0;2.271069;104.7258;90.96268;359.4101;41.17544;0.01517041
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_635.jpg;-6.019828;0;0;2.262198;104.8656;91.07832;359.4478;40.43503;359.9105
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_702.jpg;-9.073693;0;0;2.251723;104.9727;91.16155;359.4888;39.46984;359.7658
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_769.jpg;-6.142874;0;0;2.238335;105.0807;91.24303;359.5452;38.48807;359.6139
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_836.jpg;-3.146826;0;0;2.230865;105.2243;91.3512;359.6307;37.65614;359.4636
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_902.jpg;-0.09237349;0;0;2.223373;105.331;91.43266;359.6908;37.43482;359.4051
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_969.jpg;0;0;0;2.213446;105.437;91.51411;359.7407;37.40018;359.3785
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_035.jpg;0;0;0;2.205793;105.5776;91.62203;359.7936;37.39523;359.3693
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_102.jpg;0;0;0;2.198414;105.6825;91.70257;359.823;37.39714;359.383
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_169.jpg;0;0;0;2.188507;105.787;91.78262;359.8405;37.39753;359.4071
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_236.jpg;0;0;0;2.181197;105.9256;91.88882;359.8502;37.39931;359.4596
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_302.jpg;0;0;0;2.17386;106.0289;91.96796;359.845;37.39933;359.5071
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_368.jpg;0;0;0;2.164182;106.1319;92.04678;359.8333;37.40055;359.5638
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_436.jpg;0;0;0;2.156888;106.2685;92.15127;359.806;37.40069;359.6445
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_502.jpg;0;0;0;2.149663;106.3704;92.22922;359.7775;37.40049;359.707
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_568.jpg;0;0;0;2.14;106.472;92.30693;359.7481;37.40204;359.7743
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_636.jpg;0;0;0;2.132706;106.6069;92.41002;359.7055;37.40239;359.8613
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_702.jpg;0;0;0;2.125493;106.7076;92.48697;359.6708;37.40229;359.9229
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_769.jpg;-1.531215;0;0;2.115881;106.8081;92.56347;359.6351;37.3709;359.9749
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_836.jpg;-4.530496;0;0;2.10814;106.9436;92.66262;359.5983;36.892;359.9769
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_902.jpg;-7.495598;0;0;2.099593;107.0468;92.73407;359.5818;36.15277;359.9158
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_20_969.jpg;-10.51335;0;0;2.086294;107.1516;92.80241;359.578;35.10064;359.7974
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_035.jpg;-10.52444;0;0;2.074267;107.2939;92.88839;359.6017;33.32487;359.5683
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_102.jpg;-7.533807;0;0;2.066208;107.4012;92.95148;359.6411;32.23429;359.4141
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_169.jpg;-4.503015;0;0;2.057351;107.5084;93.01409;359.6898;31.4469;359.2923
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_236.jpg;-1.526135;0;0;2.050704;107.6505;93.09793;359.7547;30.92307;359.2037
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_303.jpg;0;0;0;2.04376;107.7561;93.16127;359.7941;30.84502;359.19
